,header
37,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:05.784 +0000] fr.tommy.com ""GET /fr.tommy.com/parfums-homme HTTP/1.1"" 200 33142 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
38,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:07.543 +0000] fr.tommy.com ""GET /fr.tommy.com/blazers-femme HTTP/1.1"" 200 39189 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
39,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:08.102 +0000] fr.tommy.com ""GET /fr.tommy.com/the-gift-edit HTTP/1.1"" 200 26989 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
40,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:08.212 +0000] fr.tommy.com ""GET /fr.tommy.com/sports-capsule HTTP/1.1"" 200 41337 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
41,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:08.761 +0000] fr.tommy.com ""GET /fr.tommy.com/chemises-garcon HTTP/1.1"" 200 45344 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
42,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:09.417 +0000] fr.tommy.com ""GET /fr.tommy.com/pantalons-fille HTTP/1.1"" 200 41449 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
43,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:10.164 +0000] fr.tommy.com ""GET /fr.tommy.com/sweatshirts-fille HTTP/1.1"" 200 37425 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
44,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:10.575 +0000] fr.tommy.com ""GET /fr.tommy.com/nouveautes-enfant HTTP/1.1"" 200 47339 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
45,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:11.120 +0000] fr.tommy.com ""GET /fr.tommy.com/pulls-gilets-fille HTTP/1.1"" 200 41229 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
46,"Row(('66.249.65.108 - - [16/Nov/2018:21:08:12.503 +0000] pl.tommy.com ""GET /pl.tommy.com/mezczyzni-tommy-jeans HTTP/1.1"" 200 57413 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
47,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:12.410 +0000] fr.tommy.com ""GET /fr.tommy.com/portefeuilles-femme HTTP/1.1"" 200 48320 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
48,"Row(('66.249.73.144 - - [16/Nov/2018:21:08:13.027 +0000] fr.tommy.com ""GET /fr.tommy.com/polo-de-rugby-homme HTTP/1.1"" 200 42198 ""-"" ""Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"" ""-"" ""-""',), {'header': 0})"
